docno,category1,category2,category3,category4,category5,category6,category7,category8,category9,category10
f3b7db81ee8642cf2deab7a9834e07b8df54185b,2,2,,,,,,,,
19c32f94e1f5a4f3009e51e799bae0caf1b117c2,2,2,2,,,,,,,
356467eeac91ddd6cc7bbc67a66d688990490a5f,2,2,,,,,,,,
f0524d5c84f237d57c4a1071bd9dc52e701feb05,2,,,,,,,,,
eca5c30ba0c513218db63baf8ed74dff07401bab,2,,,,,,,,,
8b6fef185e1099d548083672c8d199f6f07fc7ef,2,2,,,,,,,,
8d84f7efdd31c2904f7205726e64153246df2966,2,,,,,,,,,
6c3efe58f878b57ac36a06cb43aa58a25a4680b4,2,2,,,,,,,,
4494b1d109589b0b8eb801c1117b16706c7c05de,2,2,2,2,2,2,,,,
9c6a3a7e9cf0c4858da617e47048ec2340a09be2,2,2,,,,,,,,
e3ac6bd091862e6619ff2d98da634329bbd8abb7,2,,,,,,,,,
91a72851b7a0a50a95d028e248a90688b4925412,2,,,,,,,,,
e68fe9ce7f95ed91e196d5e8ddb6126cf2879787,2,2,2,,,,,,,
dc2dd7abbd9f4b8349dd06769484692b02d23799,1,1,,,,,,,,
1d2226b09a7905f8c991b8a668dc63e702bb7615,2,2,,,,,,,,
6ecd18b81ac64b27681e0f73ed61a07dce572400,2,2,2,,,,,,,
6357186117394b0835a7e34fb9aa79e774d07206,1,1,1,1,1,,,,,
7ef08f1fa127af817cdfd9d3bd00bdf60e32143b,2,2,2,,,,,,,
cf6956e57a07a66b71fbea278e3ae95e963f7154,2,2,2,,,,,,,
26d11d2eab9b9842130e1fef2ce6f6e22324556d,1,1,1,,,,,,,
a7787e4d4b0988bb3d0fba316f06bac197b45a11,2,2,,,,,,,,
531eb7119149eb9591474d2ba749a2d2fda84965,2,2,,,,,,,,
0ddf7cf391615413f803134c5f3eec146f4661a8,2,2,2,2,2,,,,,
751753b1380d829f7b90f84b3e72a5721bd74774,2,,,,,,,,,
9c323e6d6c8062c78c39e5c2e52c10a1ea0b657d,2,2,,,,,,,,
81f33f03d6f056f86e5e944061673b1e929d70b4,1,1,1,1,1,1,1,1,,
c2ecc66c0e5f976b0e0d95c64ed2d1e283a2625d,2,2,,,,,,,,
bf214c0f0ca5523a1e87521badcdca99be91244e,2,2,2,,,,,,,
a44f885f11ee044a74df02700dbbe809f9b8bb6a,2,2,2,,,,,,,
89b3d4a4eddd8ab0498fca7aa5a0a65c7b680c98,2,2,2,2,2,2,2,2,2,
d1717ec73b25e5e9f317860ef399b6f1ea3b80a5,1,1,,,,,,,,
619a683a1526cc7e5565776c39f8d1788ba67c7e,1,1,1,,,,,,,
7fa072aaecb006e7d4435814ea469af6baded9f9,2,2,2,2,2,2,2,,,
c0bd1b7dd7f71feb5f6ed9dfebb611949c98c6b0,2,2,,,,,,,,
2f6615af2f058e54d0af4957a37f88edb5d0f352,2,2,,,,,,,,
3d614a0da2dc71c4068f8e9bcc32067959b8e00f,2,2,2,2,2,2,,,,
